animal_idx,age,age_first_sess,sess_num,perf,reg_trial_intercept,reg_trial_oneback,reg_trial_twoback,reg_trial_rl,reg_repeat_intercept,reg_repeat_main,reg_repeat_reward,reg_nrepeat_reward,reg_repeat_rl,reg_reward_intercept,reg_reward_main,reg_reward_repeat,reg_nreward_repeat,reg_reward_rl,alpha_positive,beta,s1,s2,s3,sex,ns
22,77,41,7,0.5825,0.492151842864554,0.426971523384292,-0.0879629357727247,0.188926824089794,0.481241475598957,0.4259262112499,0.287066698589445,-0.0174118659237096,0.160211811601143,0.56804498572495,0.131236979693955,0.581555100110028,0.277076535596874,0.160211811601143,0.00044380426645268,19.9995053302179,-0.0226485136011607,0.0270842128272766,-0.00708003109543705,1,1
40,74,74,1,0.4525,0.820923174182367,0.018405948535459,0.0674673756223971,0.912355889123326,0.809930686548907,-0.01465098803514,0.245351090911201,-0.162426361540533,0.884108130777937,0.824809324413671,0.0388189072210973,0.189243052253464,-0.218534400198276,0.884108130777934,0.000901324757925587,19.9994488968415,-0.00600904083916044,0.0110331663205201,0.0317259694031935,1,1
40,77,74,2,0.6875,1.63416375293237,0.0805728423361752,-0.0123553401754291,0.852773058595039,1.65111844638994,-0.0183011272987146,0.229597730649161,-0.160205760095878,0.853371845490785,1.67086048717828,0.0273050317209698,0.176534535179359,-0.21326895556568,0.853371845490785,0.00605798402683601,6.99567772132694,0.0142534850003958,0.0275096132009613,0.0458680589133574,1,1
40,81,74,3,0.5225,0.0485305740157153,0.0664224613922973,0.0795320780101302,0.00799390066784612,0.0518115744640102,0.0618232922662664,-0.0652529472433578,-0.0512852972356115,-0.00920839542635279,0.0512687796916477,-0.0582828361708659,0.0548135428147147,0.068781192822461,-0.00920839542635278,6.39190795647258e-05,19.9854249869912,-0.00184567750714758,0.00300376863566855,-0.00517033930304601,1,1
41,72,72,1,0.5075,0.819225123643186,0.578256998859773,0.0402044884228221,0.856697728656722,0.912591660956758,0.531980653214263,0.84991167699741,-0.302482149686619,0.8055870831922,1.04656849001823,0.257666850896156,1.10950950508613,-0.0428843215978952,0.805587083192199,0.0140532993746016,3.97619980524873,-0.167824988163592,0.304061153905413,0.225139243494194,1,1
41,75,72,2,0.6725,1.41244697323623,0.571461427043562,-0.175416058946946,0.505583044416474,1.37177030473461,0.485127758618443,0.712143525637722,-0.0893539534726094,0.464773085931423,1.57084698986133,0.259484058252521,0.886360565876468,0.0848630867661371,0.464773085931423,0.0121059911584804,4.34295423187403,-0.129759961640665,0.193980688790907,0.0789778709992797,1,1
41,78,72,3,0.6375,1.3697585208245,0.756228259291318,-0.25281606943294,0.611002817573922,1.30264385102212,0.764082409271956,0.968659958442911,0.0784090480318773,0.5251662596512,1.6183539914065,0.449240188121222,1.21018131562028,0.319930405209247,0.5251662596512,0.00708703463305906,5.81608747259647,-0.178516043193421,0.186021063100477,0.0593901327861548,1,1
9,53,53,1,0.8425,1.96852330222598,-0.0432624487306051,0.0193376682227994,0.370265232643626,2.00258158286985,0.00622244557273952,-0.14058254618787,0.066919743057427,0.320693559692855,1.97609157976806,-0.0245452999810422,-0.0974550674554658,0.110047221789832,0.320693559692855,0.0543789491413777,4.18921002928644,0.0167740787925056,-0.023651942663097,-0.0779588236548644,1,1
9,56,53,2,0.6875,1.51101948163374,0.243912556401095,-0.251240367206206,0.690976961938933,1.52301056351164,0.0889180552741372,0.394119752262499,-0.342002797318337,0.714815958276477,1.54626386944207,0.0209797613189466,0.457266120819801,-0.278856428761035,0.714815958276477,0.00781134375627739,5.38756546080192,0.0389645327124268,0.0887154315095377,0.0673649168670729,1,1
9,62,53,3,0.56,0.340737784780572,1.20565086590114,0.563768041119925,-0.14833792597349,0.659935199436214,1.40476633114918,1.54183289488697,-1.00376425171477,-0.168228300903336,0.771686151619125,0.267316682673887,2.67915270672463,0.133555560122891,-0.168228300903336,0.999999870149385,2.87707256756579,-0.380800854439328,0.999999995730803,0.297115656383212,1,1
9,66,53,4,0.5525,1.24673986547284,1.04864055097832,0.163222895960806,0.896177729521876,1.54995975223886,1.09835992784914,1.54082605871855,-0.494942439579787,0.981107050714707,1.90522586118174,0.47103363163035,2.12300321824903,0.0872347199506855,0.981107050714707,0.00540686785708987,9.24545883742016,-0.093946591780178,0.225069456216668,0.0736892758650465,1,1
9,70,53,5,0.66,1.5300732311175,0.751014787830894,-0.0703886805466816,0.892472956613359,1.56120201903063,0.714525798723268,1.04422171390415,-0.137901152182719,0.809067578573564,1.85385446419612,0.381056809824369,1.30673112932852,0.124608263241651,0.809067578573564,0.0225521071665567,5.44050752380915,-0.207598181456632,0.263015757651642,0.164202340646834,1,1
9,74,53,6,0.6725,1.3870617102832,1.18959620726005,0.0367830525803198,0.473207461463583,1.78453324608612,1.26998853766267,1.41322368215191,-0.493842696163239,0.485641168095495,2.09814910263539,0.406270460457911,2.22664805996623,0.319581681651081,0.485641168095495,0.0288683446020418,4.90244486917083,-0.209656484562224,0.421803162112895,0.0639873606570867,1,1
9,75,53,7,0.7725,2.10997735965415,1.53888966466799,-0.340707347555696,0.374083889129334,2.23963679434607,1.38635723105042,0.952663775491813,-0.473769000449633,0.44780327460533,2.49681878493668,0.192578895041752,2.10357349377378,0.677140717832334,0.447803274605331,0.0413205879296594,5.3208108788752,-0.164485071848111,0.370296237300433,-0.0893333991315205,1,1
10,61,61,1,0.685,1.11181915042752,0.574396259305871,0.00536005324295061,0.413500120094418,1.09350448659428,0.486677018306664,0.401128564356051,-0.111659851069641,0.399775017616928,1.18293503877997,0.127956768962937,0.743295532165122,0.230507116739431,0.399775017616928,0.0292564379063146,2.97095694474144,-0.183345513754415,0.256689584859306,0.0353699722978442,1,1
10,63,61,2,0.48,0.0142445799275566,0.521118334072091,0.0364650661483013,0.198246897982147,0.100567917948173,0.589487841391517,0.748278888463866,-0.536544526380265,0.216555292977359,0.108304884187392,0.105918445341661,1.23164631475629,-0.0531771000878456,0.216555292977359,0.000331259639070796,19.9994172111985,-0.0155710855773003,0.0639151301848845,0.0204743094562239,1,1
