first 200 odor expo performance: Table 1
male sz2 repeat pCorrect,male sz2 non-repeat pCorrect,male sz4 repeat pCorrect,male sz4 non-repeat pCorrect,female sz2 repeat pCorrect,female sz2 non-repeat pCorrect,female sz4 repeat pCorrect,female sz4 non-repeat pCorrect
0.625,0.53,0.495689655172414,0.570422535211268,0.695652173913044,0.888888888888889,0.801369863013699,0.89267461669506
0.888888888888889,0.786729857819905,0.707920792079208,0.537001897533207,0.78494623655914,0.808411214953271,0.415,0.531666666666667
0.941798941798942,0.630331753554502,0.743362831858407,0.54006968641115,0.820359281437126,0.914163090128755,0.57487922705314,0.566610455311973
0.865168539325843,0.495495495495496,0.715151515151515,0.507086614173228,0.383838383838384,0.425742574257426,0.514423076923077,0.484797297297297
0.839779005524862,0.420091324200913,0.670807453416149,0.712153518123667,0.588541666666667,0.423076923076923,0.646288209606987,0.53415061295972
0.84,0.595555555555556,0.53781512605042,0.476449275362319,0.759162303664921,0.526315789473684,0.590909090909091,0.584717607973422
0.40952380952381,0.6,0.637554585152839,0.509632224168126,0.581632653061225,0.534313725490196,0.737777777777778,0.457391304347826
0.728323699421965,0.903061224489796,0.609625668449198,0.429037520391517,0.551020408163265,0.627450980392157,0.725118483412322,0.514431239388795
0.922279792746114,0.758454106280193,0.816326530612245,0.623616236162362,0.645962732919255,0.510460251046025,0.792929292929293,0.421926910299003
0.535714285714286,0.259803921568627,0.447761194029851,0.303921568627451,0.730392156862745,0.561224489795918,0.753846153846154,0.619834710743802
0.76878612716763,0.299559471365639,0.391891891891892,0.389558232931727,0.708108108108108,0.344186046511628,0.637837837837838,0.678756476683938
0.857142857142857,0.698744769874477,0.675824175824176,0.631067961165049,0.707317073170732,0.482051282051282,0.635416666666667,0.725328947368421
0.523316062176166,0.473429951690821,0.783251231527094,0.616487455197133,0.666666666666667,0.712389380530973,0.692737430167598,0.722033898305085
0.820388349514563,0.551546391752577,0.813131313131313,0.691029900332226,0.646739130434783,0.726851851851852,0.356435643564356,0.474916387959866
0.84,0.604444444444445,0.805555555555556,0.670967741935484,0.654255319148936,0.622641509433962,0.743169398907104,0.733668341708543
0.619631901840491,0.360515021459228,0.746987951807229,0.641791044776119,0.558823529411765,0.642857142857143,0.576086956521739,0.656195462478185
0.847826086956522,0.74537037037037,0.242424242424242,0.347682119205298,0.789473684210526,0.942857142857143,0.603864734299517,0.600337268128162
0.67741935483871,0.565420560747664,0.85929648241206,0.738768718801997,0.453125,0.591346153846154,0.717592592592593,0.645547945205479
0.758064516129032,0.845794392523365,0.72192513368984,0.65252854812398,0.576086956521739,0.736111111111111,0.723756906077348,0.631663974151858
0.650485436893204,0.448453608247423,0.647058823529412,0.507936507936508,0.227272727272727,0.287128712871287,0.561797752808989,0.545638945233266
0.866666666666667,0.618181818181818,0.747572815533981,0.592592592592593,0.765714285714286,0.813333333333333,0.486187845303867,0.662771285475793
0.740932642487047,0.48792270531401,0.578199052132701,0.466893039049236,0.480225988700565,0.695067264573991,0.775609756097561,0.638655462184874
0.745664739884393,0.414096916299559,0.540229885057471,0.670175438596491,0.467005076142132,0.522167487684729,0.760869565217391,0.678571428571429
0.813186813186813,0.495412844036697,0.487309644670051,0.565505804311774,0.409638554216867,0.658119658119658,0.746543778801843,0.718696397941681
0.744186046511628,0.539473684210526,0.710144927536232,0.628975265017668,0.544117647058824,0.576530612244898,0.785365853658537,0.695798319327731
0.25462962962963,0.277173913043478,0.83030303030303,0.731884057971015,0.611702127659574,0.533018867924528,0.629464285714286,0.440972222222222
0.834285714285714,0.666666666666667,0.730769230769231,0.611486486486487,0.766497461928934,0.640394088669951,0.658163265306123,0.420529801324503
0.795811518324607,0.622009569377991,0.720588235294118,0.593806921675774,0.467032967032967,0.605504587155963,0.746268656716418,0.507512520868114
0.840659340659341,0.692660550458716,0.805,0.666666666666667,0.517241379310345,0.512690355329949,0.87431693989071,0.583468395461912
0.782857142857143,0.6,0.654450261780105,0.623973727422003,0.483870967741936,0.738317757009346,0.720812182741117,0.696517412935323
0.922279792746114,0.72463768115942,0.764044943820225,0.729903536977492,0.577669902912621,0.38659793814433,0.619289340101523,0.57379767827529
0.691542288557214,0.341708542713568,0.650485436893204,0.579124579124579,0.605,0.54,0.873015873015873,0.459901800327332
0.759162303664921,0.54066985645933,0.829268292682927,0.65474060822898,0.779569892473118,0.630841121495327,0.596244131455399,0.528109028960818
0.621761658031088,0.391304347826087,0.717948717948718,0.56198347107438,0.697916666666667,0.581730769230769,0.53475935828877,0.541598694942904
0.751219512195122,0.323076923076923,0.571428571428571,0.564056939501779,0.819587628865979,0.771844660194175,0.661538461538462,0.464462809917355
0.761658031088083,0.801932367149759,0.622340425531915,0.504901960784314,0.763546798029557,0.619289340101523,0.804878048780488,0.747899159663866
0.445,0.635,0.744791666666667,0.439144736842105,0.713541666666667,0.365384615384615,0.629032258064516,0.591205211726384
0.620512820512821,0.341463414634146,0.775641025641026,0.711033274956217,0.6,0.483720930232558,0.673575129533679,0.578253706754531
0.877777777777778,0.895454545454546,0.577272727272727,0.491379310344828,0.722772277227723,0.227272727272727,0.746113989637306,0.540362438220758
0.726829268292683,0.451282051282051,0.665158371040724,0.59412780656304,0.710900473933649,0.248677248677249,0.733990147783251,0.412060301507538
0.745945945945946,0.567441860465116,0.756476683937824,0.546952224052718,0.838541666666667,0.399038461538462,0.663316582914573,0.484193011647255
0.837078651685393,0.666666666666667,0.7,0.64695652173913,0.862637362637363,0.440366972477064,0.613756613756614,0.602291325695581
